feature,iv,n_bins,edges
pay_0,0.893946,5,"[-1.0, 0.0, 1.0, 2.0]"
pay_2,0.557141,4,"[-2.0, -1.0, 0.0, 2.0]"
pay_3,0.419832,4,"[-2.0, -1.0, 0.0, 2.0]"
pay_4,0.367718,4,"[-2.0, -1.0, 0.0, 2.0]"
pay_6,0.295908,4,"[-2.0, -1.0, 0.0, 2.0]"
limit_bal,0.191184,5,"[50000.0, 70000.0, 140000.0, 270000.0]"
pay_amt2,0.120614,5,"[0.0, 1174.0, 3000.0, 6000.0, 10443.400000000009]"
pay_amt1,0.110899,5,"[0.0, 2118.5, 3000.0, 6243.0, 10233.100000000002]"
pay_amt3,0.100286,5,"[0.0, 1212.0, 1821.5, 5350.0, 10000.0]"
pay_amt6,0.087421,5,"[0.0, 416.0, 3180.9000000000033, 5000.0, 9516.300000000028]"
pay_amt5,0.077297,5,"[0.0, 1000.0, 2151.2000000000044, 5000.0, 9601.000000000022]"
pay_amt4,0.077016,5,"[0.0, 1500.0, 3223.0, 5000.0, 10000.0]"
pay_5,0.036339,3,"[-2.0, -1.0, 0.0]"
bill_amt6,0.018321,4,"[2716.0, 8742.800000000001, 39023.10000000004]"
age,0.015355,5,"[25.0, 29.0, 36.0, 49.0]"
education,0.013411,2,[2.0]
bill_amt1,0.013233,5,"[280.0, 13456.800000000003, 36954.8, 52138.100000000006]"
bill_amt5,0.012888,4,"[759.0, 9866.600000000002, 40866.600000000006]"
bill_amt2,0.012538,3,"[12729.6, 34629.0]"
bill_amt4,0.012268,4,"[1000.0, 11189.2, 45514.3]"
bill_amt3,0.011934,5,"[1215.0, 12204.200000000003, 31248.200000000004, 76683.0]"
sex,0.010423,2,"[1.0, 2.0]"
marriage,0.003459,2,[2.0]
